,Family,Subfamily,Genus,Species,,Common Name,Habitat,Abundance,Occurrence,F,FE,OP,UG,Remarks
153,Pieridae,Coliadinae,Eurema,hecabe,"Linnaeus, 1758",Common Grass Yellow,"Forests, forest edges, gardens, open habitats",Abundant,CW,yes,yes,yes,yes,Abundant across habitats
154,Pieridae,Coliadinae,Eurema,laeta,"Boisduval, 1836",Spotless Grass Yellow,Forest clearings,Rare,RN,yes,no,no,no,"Records from Rabandhara and Kadalighati, often near Bamboo clumps"
155,Pieridae,Coliadinae,Gandaca,harina,"Horsfield, 1829",Tree Yellow,Forests,Rare,RN,yes,no,no,no,Records from Karlapat in August and October.
156,Pieridae,Pierinae,Appias,lyncida,"Cramer, 1777",Chocolate Albatross,Forests - Open patches within forests,Rare,RN,yes,no,no,no,Records from Jakam and Sagada in winter
157,Pieridae,Pierinae,Cepora,nerissa,"Fabricius, 1775",Common Gull,Forests - Open patches within forests,Rare,RN,yes,no,no,no,Records from grasslands and open habitats in monsoon months
158,Pieridae,Pierinae,Delias,eucharis,"Drury, 1773",Common Jezebel,"Forest edges, scrub",Uncommon,UW,no,yes,yes,no,Seen in good numbers in post monsoon and winter
159,Pieridae,Pierinae,Delias,hyparete,"Linnaeus, 1758",Painted Jezebel,"Forest edges, open habitats near forests",Common,CW,yes,yes,yes,yes,Seen in good numbers in post monsoon and winter
160,Pieridae,Pierinae,Ixias,pyrene,"Linnaeus, 1764",Yellow Orange Tip,"Forests, forest edges",Rare,RN,yes,no,no,no,One record from Jakam (20-10-2022)
161,Pieridae,Pierinae,Leptosia,nina,"Fabricius, 1793",Psyche,Forests,Uncommon,UW,no,yes,yes,no,"Records from Niyamgiri and Karlapat, in thinly wooded parts"
162,Pieridae,Pierinae,Pareronia,hippia,"Fabricius, 1787",Common Wanderer,"Forests, Forest edges",Uncommon,UW,yes,yes,yes,yes,"Records from thinly wooded patches, form philomela not recorded"
