id,observed_on,latitude,longitude,taxon_family_name,taxon_subfamily_name,taxon_genus_name,taxon_species_name
249615244,2024-10-29,19.7874678854,83.1128838658,Pieridae,Coliadinae,Catopsilia,Catopsilia pomona
249719842,2024-10-30,19.746348,83.107066,Nymphalidae,Charaxinae,Eriboea,Eriboea solon
249719876,2024-10-30,19.7186287,83.0767682,Nymphalidae,Charaxinae,Polyura,Polyura bharata
249751233,2024-10-30,19.669197,83.1442469722,Nymphalidae,Nymphalinae,Junonia,Junonia lemonias
249752215,2024-10-30,19.694424,83.132828,Nymphalidae,Limenitidinae,Euthalia,Euthalia nais
249844009,2024-10-31,19.6050609,82.8237634997,Nymphalidae,Satyrinae,Elymnias,Elymnias hypermnestra
249845491,2024-10-31,19.6062513,82.8239925997,Nymphalidae,Nymphalinae,Junonia,Junonia lemonias
249845895,2024-10-31,19.6031255,82.8213216,Hesperiidae,Pyrginae,Spialia,Spialia galba
249846138,2024-10-31,19.6025114997,82.8204032997,Nymphalidae,Heliconiinae,Acraea,Acraea terpsicore
249855834,2024-10-29,19.8642819,83.1745039,Hesperiidae,Tagiadinae,Caprona,Caprona ransonnettii
249855838,2024-10-31,19.6042449608,82.8236379006,Hesperiidae,Hesperiinae,Pelopidas,Pelopidas agna
249863841,2024-10-31,19.8601999232,82.9919832945,Pieridae,Pierinae,Pareronia,Pareronia hippia
249868228,2024-10-31,19.9012329,83.1725734997,Nymphalidae,Nymphalinae,Junonia,Junonia lemonias
249885304,2024-10-31,19.859749939,82.9874399677,Nymphalidae,Biblidinae,Ariadne,Ariadne merione
249992457,2024-11-01,19.8066510167,83.1191580932,Pieridae,Pierinae,Delias,Delias hyparete
249992458,2024-11-01,19.8066435006,83.1190723045,Hesperiidae,Hesperiinae,Pelopidas,Pelopidas agna
249995529,2024-11-01,19.7600680111,83.1143993139,Pieridae,Pierinae,Delias,Delias hyparete
250084686,2024-11-02,19.720065,83.0655335,Nymphalidae,Satyrinae,Orsotriaena,Orsotriaena medus
250103641,2024-11-01,19.7842793002,83.1168092787,Nymphalidae,Satyrinae,Elymnias,Elymnias hypermnestra
250104432,2024-11-02,19.7509519,83.0595777,Pieridae,Pierinae,Leptosia,Leptosia nina
250111466,2024-11-02,19.7509659,83.0626647997,Nymphalidae,Satyrinae,Melanitis,Melanitis leda
250111528,2024-11-02,19.7509049722,83.0626939722,Nymphalidae,Satyrinae,Lethe,Lethe drypetis
250111569,2024-11-02,19.7511405997,83.0633499,Nymphalidae,Satyrinae,Melanitis,Melanitis leda
250111774,2024-11-02,19.7513998,83.0639276997,Lycaenidae,Polyommatinae,Acytolepis,Acytolepis puspa
250111824,2024-11-02,19.7513925,83.0639553,Nymphalidae,Nymphalinae,Junonia,Junonia iphita
250112174,2024-11-02,19.7518804,83.0645758,Nymphalidae,Limenitidinae,Neptis,Neptis hylas
250112278,2024-11-02,19.751604,83.0659279722,Hesperiidae,Hesperiinae,Iambrix,Iambrix salsala
250113449,2024-11-02,19.756343,83.0733122,Nymphalidae,Satyrinae,Mycalesis,Mycalesis mineus
250113716,2024-11-02,19.7563214997,83.073389,Nymphalidae,Nymphalinae,Junonia,Junonia iphita
250113836,2024-11-02,19.756305,83.073424,Nymphalidae,Satyrinae,Ypthima,Ypthima huebneri
250114559,2024-11-02,19.716193,83.0751374,Nymphalidae,Nymphalinae,Junonia,Junonia iphita
250120169,2024-11-02,19.736585,83.076959,Lycaenidae,Polyommatinae,Everes,Everes lacturnus
250121061,2024-11-02,19.736585,83.076959,Nymphalidae,Nymphalinae,Junonia,Junonia hierta
250133494,2024-11-02,19.7357208173,83.0780000612,Nymphalidae,Nymphalinae,Junonia,Junonia hierta
250137828,2024-11-02,20.2762625991,83.3398515701,Lycaenidae,Polyommatinae,Zizina,Zizina otis
250137854,2024-11-02,20.2315357779,83.3118548511,Nymphalidae,Charaxinae,Polyura,Polyura bharata
250304270,2024-11-03,19.7465016538,83.1070380433,Lycaenidae,Polyommatinae,Anthene,Anthene lycaenina
250304287,2024-11-03,19.6281950103,83.1491755996,Nymphalidae,Satyrinae,Melanitis,Melanitis leda
250304289,2024-11-03,19.628125046,83.1492775236,Hesperiidae,Hesperiinae,Pelopidas,Pelopidas conjuncta
250304311,2024-11-03,19.6283339568,83.1491037047,Pieridae,Coliadinae,Eurema,Eurema hecabe
250304312,2024-11-03,19.6278893187,83.1491037047,Lycaenidae,Polyommatinae,Castalius,Castalius rosimon
250304316,2024-11-03,19.6278088586,83.1497045196,Lycaenidae,Polyommatinae,Catochrysops,Catochrysops strabo
250304317,2024-11-03,19.6281728455,83.148760382,Lycaenidae,Polyommatinae,Acytolepis,Acytolepis puspa
250410219,2024-11-03,19.8033527778,83.1237333333,Lycaenidae,Polyommatinae,Anthene,Anthene emolus
250416270,2024-11-01,19.8060618036,83.1246959791,Pieridae,Pierinae,Delias,Delias eucharis
250555534,2024-11-05,19.7876777778,83.1117194444,Nymphalidae,Limenitidinae,Phaedyma,Phaedyma columella
250555640,2024-11-05,19.7822078056,83.1123370305,Hesperiidae,Tagiadinae,Tagiades,Tagiades litigiosa
250654788,2024-11-06,19.6192509722,82.5499789722,Nymphalidae,Limenitidinae,Euthalia,Euthalia nais
250655069,2024-11-06,19.8042027778,83.1167694444,Nymphalidae,Limenitidinae,Euthalia,Euthalia aconthea
250655186,2024-11-06,19.6202553,82.5501476,Pieridae,Coliadinae,Catopsilia,Catopsilia pomona
250656579,2024-11-05,19.549564,82.5814989722,Nymphalidae,Limenitidinae,Euthalia,Euthalia lubentina
250666881,2024-11-06,19.5676877,82.6217060997,Lycaenidae,Polyommatinae,Euchrysops,Euchrysops cnejus
250683384,2024-11-06,19.5676489722,82.621892,Lycaenidae,Theclinae,Rapala,Rapala pheretima
250688746,2024-11-06,19.5676449722,82.6219009722,Pieridae,Coliadinae,Eurema,Eurema hecabe
250688782,2024-11-06,19.5677209722,82.62197,Pieridae,Pierinae,Pareronia,Pareronia hippia
250688948,2024-11-06,19.567719,82.62202,Nymphalidae,Limenitidinae,Euthalia,Euthalia nais
250762969,2024-11-07,19.8921460958,83.0813089299,Nymphalidae,Limenitidinae,Tanaecia,Tanaecia lepidea
250762976,2024-11-07,19.892019987,83.0812043238,Lycaenidae,Polyommatinae,Castalius,Castalius rosimon
250766205,2024-11-03,19.6332807,83.1474783,Lycaenidae,Polyommatinae,Catochrysops,Catochrysops strabo
250768609,2024-11-06,19.6202872211,82.5505697677,Hesperiidae,Tagiadinae,Sarangesa,Sarangesa dasahara
250768649,2024-11-03,19.7465078728,83.1067934147,Lycaenidae,Polyommatinae,Anthene,Anthene lycaenina
250770648,2024-11-03,19.647372,83.152037,Hesperiidae,Hesperiinae,Iambrix,Iambrix salsala
